Seed,Community,Species_ID,Species_CUE,Community_CUE,Abundance,Total_Abundance,Dominant_Community
50,1,1,0.16715153963768709,0.2380076652694118,-7.874580110455215e-13,38.266872834359056,Community 2
50,1,2,0.16791000965581857,0.2380076652694118,-7.215410715375892e-11,38.266872834359056,Community 2
50,1,3,0.1483801201072565,0.2380076652694118,-3.657215011221304e-14,38.266872834359056,Community 2
50,1,4,0.14343776034370365,0.2380076652694118,-2.8472253136038244e-13,38.266872834359056,Community 2
50,1,5,0.11828955290925669,0.2380076652694118,-9.743790050288982e-15,38.266872834359056,Community 2
50,1,6,0.19184261094400007,0.2380076652694118,4.965872503603222e-06,38.266872834359056,Community 2
50,1,7,0.16020163195889303,0.2380076652694118,1.758461410255171e-14,38.266872834359056,Community 2
50,1,8,0.21225441627395147,0.2380076652694118,3.7778083483568104e-06,38.266872834359056,Community 2
50,1,9,0.2074738219361651,0.2380076652694118,0.0005178105762992893,38.266872834359056,Community 2
50,1,10,0.08741648399798538,0.2380076652694118,-7.703487778724248e-15,38.266872834359056,Community 2
50,1,11,0.18922993764863416,0.2380076652694118,0.013980527883814386,38.266872834359056,Community 2
50,1,12,0.1706003821765357,0.2380076652694118,-6.024375917231205e-12,38.266872834359056,Community 2
50,1,13,0.03265922328828842,0.2380076652694118,-4.646793552542752e-15,38.266872834359056,Community 2
50,1,14,0.16800914195811492,0.2380076652694118,-3.760728886481541e-13,38.266872834359056,Community 2
50,1,15,0.16145574113275932,0.2380076652694118,-2.035643848072215e-13,38.266872834359056,Community 2
50,1,16,0.11187025747780309,0.2380076652694118,-1.0369255586037313e-14,38.266872834359056,Community 2
50,1,17,0.17077481677114104,0.2380076652694118,-6.722393829607419e-14,38.266872834359056,Community 2
50,1,18,0.18627713682339705,0.2380076652694118,-2.7882113443150307e-12,38.266872834359056,Community 2
50,1,19,0.18897494635614273,0.2380076652694118,-3.051307397439354e-11,38.266872834359056,Community 2
50,1,20,0.18222726097583414,0.2380076652694118,3.7166641563744226e-10,38.266872834359056,Community 2
50,1,21,0.10933741868336615,0.2380076652694118,-6.618760286424827e-17,38.266872834359056,Community 2
50,1,22,0.18500561446089192,0.2380076652694118,-9.644469838996288e-11,38.266872834359056,Community 2
50,1,23,0.19457520613056284,0.2380076652694118,-1.8333789353679726e-10,38.266872834359056,Community 2
50,1,24,0.17765907720718202,0.2380076652694118,-3.2805746864062797e-12,38.266872834359056,Community 2
50,1,25,0.18292523948385828,0.2380076652694118,-1.7024222390679488e-11,38.266872834359056,Community 2
50,1,26,0.20225131050394224,0.2380076652694118,0.017463795492346695,38.266872834359056,Community 2
50,1,27,0.16303656927315796,0.2380076652694118,-1.993203597233303e-13,38.266872834359056,Community 2
50,1,28,0.15595786348016877,0.2380076652694118,-2.31351804130234e-14,38.266872834359056,Community 2
50,1,29,0.10320511374713129,0.2380076652694118,-1.218356777278805e-14,38.266872834359056,Community 2
50,1,30,0.18492001829567842,0.2380076652694118,1.587963526172251e-10,38.266872834359056,Community 2
50,1,31,0.220525410542893,0.2380076652694118,0.12171110169683576,38.266872834359056,Community 2
50,1,32,0.21859847213069447,0.2380076652694118,19.817440744848206,38.266872834359056,Community 2
50,1,33,0.11263602574843158,0.2380076652694118,-2.0893119687748533e-15,38.266872834359056,Community 2
50,1,34,0.17728727394305352,0.2380076652694118,-5.185136665071619e-12,38.266872834359056,Community 2
50,1,35,0.15513815654547553,0.2380076652694118,1.5076329052519445e-14,38.266872834359056,Community 2
